JYDZ,Waveform,,,DSO112A,JYE Tech Ltd.
14,25,25
ChnNum,RecLen,ChnCfg,SampleRate,Resolution,Timebase,HPos,TrigMode,TrigSlope,TrigLvl,TrigSrc,TrigPos,TrigSen,TBcopy
00001,00512,,25000,00008,00021,00082,00000,00000,00000,,00002,,00021
00005
00000
00002
65516
3392.00
00005
00150




--------------------------------------------------------------------------------------------------------
00189
00190
00189
00190
00189
00190
00190
00190
00189
00190
00189
00190
00189
00190
00190
00190
00189
00190
00189
00190
00189
00190
00189
00190
00189
00190
00189
00190
00189
00190
00189
00190
00189
00190
00189
00190
00189
00190
00189
00190
00189
00190
00189
00190
00190
00190
00189
00190
00189
00190
00189
00190
00189
00190
00189
00190
00189
00190
00190
00190
00189
00190
00189
00190
00189
00190
00190
00190
00189
00190
00190
00190
00189
00190
00190
00190
00189
00190
00189
00190
00189
00190
00189
00190
00189
00190
00189
00190
00189
00190
00189
00190
00190
00190
00189
00190
00190
00190
00190
00190
00189
00190
00189
00190
00189
00190
00190
00190
00189
00190
00189
00190
00189
00190
00190
00190
00189
00190
00189
00190
00189
00190
00189
00190
00189
00190
00189
00190
00189
00190
00189
00190
00189
00190
00189
00190
00189
00190
00189
00190
00189
00190
00189
00190
00189
00190
00189
00190
00189
00190
00189
00190
00189
00190
00189
00190
00189
00190
00189
00190
00189
00190
00189
00190
00189
00190
00189
00190
00189
00190
00189
00190
00189
00190
00189
00190
00189
00190
00189
00190
00189
00190
00189
00190
00189
00190
00189
00190
00189
00190
00190
00190
00189
00190
00189
00190
00189
00190
00189
00190
00189
00190
00189
00190
00189
00190
00189
00190
00189
00190
00190
00190
00189
00190
00190
00190
00190
00190
00189
00190
00189
00190
00189
00190
00189
00190
00189
00190
00189
00190
00190
00190
00189
00190
00189
00190
00189
00190
00189
00190
00189
00190
00189
00190
00189
00190
00189
00190
00189
00190
00189
00190
00190
00190
00189
00190
00189
00190
00189
00190
00190
00190
00189
00190
00189
00190
00189
00190
00189
00190
00190
00190
00189
00190
00189
00190
00189
00190
00189
00190
00189
00190
00189
00190
00189
00190
00189
00190
00189
00190
00189
00190
00189
00190
00189
00190
00189
00190
00189
00190
00190
00190
00189
00190
00189
00190
00189
00190
00189
00190
00189
00190
00189
00190
00190
00190
00190
00190
00189
00190
00189
00190
00190
00190
00189
00190
00189
00190
00189
00190
00189
00190
00189
00190
00189
00190
00189
00190
00190
00190
00189
00190
00189
00190
00189
00190
00189
00190
00189
00190
00189
00190
00189
00190
00189
00190
00189
00190
00189
00190
00189
00190
00189
00190
00189
00190
00189
00190
00189
00190
00189
00190
00189
00190
00189
00190
00189
00190
00189
00190
00189
00190
00189
00190
00189
00190
00189
00190
00189
00190
00189
00190
00190
00190
00189
00190
00189
00190
00189
00190
00189
00190
00189
00190
00189
00190
00189
00190
00189
00190
00189
00190
00189
00190
00190
00190
00189
00190
00189
00190
00189
00190
00190
00190
00189
00190
00189
00190
00189
00190
00189
00190
00189
00190
00189
00190
00189
00190
00189
00190
00190
00190
00189
00190
00189
00190
00189
00190
00189
00190
00189
00190
00189
00190
00189
00190
00189
00190
00189
00190
00189
00190
00189
00190
00189
00190
00189
00190
00189
00190
00189
00190
00190
00190
00189
00190
00189
00190
00189
00190
00190
00190
00189
00190
00189
00190
00189
00190
00190
00190
00189
00190
00189
00190
00189
00190
00189
00190
00189
00190
00189
00190
00189
00190
00189
00190
00189
00190
00189
00190
00190
00190
